Index,Temps,Hexadecimal_sans_p,Hexadecimal
2077,17424537558,8D347454EA485864013C08,8D347454EA485864013C08CE1034
2078,17425348721,8D34210758B521DF0BF63C,8D34210758B521DF0BF63C1D67EE
2079,17429220908,8D34210758B5255F51F665,8D34210758B5255F51F66522572E
2080,17433186564,8D34210758B521DE77F614,8D34210758B521DE77F614E293E7
2081,17433826400,8D342107EA447860013C08,8D342107EA447860013C089A11AE
2082,17436027608,8D342107990CC6AD380415,8D342107990CC6AD3804154A2F1C
2083,17444561699,8D3986ECF8230002004AB8,8D3986ECF8230002004AB8C7484B
2084,17457859879,8D3986EC589701E663EB2A,8D3986EC589701E663EB2A08B745
2085,17459152313,8D34210758B521DC89F58F,8D34210758B521DC89F58FE28FFC
2086,17459513900,8D342107990CC7AD380415,8D342107990CC7AD38041544229C
2087,17460911839,8D3986EC589701E625EB1D,8D3986EC589701E625EB1D08B745
2088,17461064863,8D3986ECEA38C860015F88,8D3986ECEA38C860015F887D4BE0
2089,17462011424,8D3986EC9914ABB110081B,8D3986EC9914ABB110081B761F19
2090,17466409856,8D3986EC9914ABB110081B,8D3986EC9914ABB110081B761F19
2091,17467205329,8D342107990CC7AD380415,8D342107990CC7AD38041544229C
2092,17469944343,8D3986EC9914ABB110081B,8D3986EC9914ABB110081B761F19
2093,17473799346,8D3986EC9914ABB110041B,8D3986EC9914ABB110041B761F19
2094,17477216237,8D3986EC9914ABB110041B,8D3986EC9914ABB110041B761F19
2095,17479766948,8D3986EC589701E4A7EACB,8D3986EC589701E4A7EACB08AB5E
2096,17480426093,8D3986ECEA38C860015F88,8D3986ECEA38C860015F887D4BE0
2097,17480795049,8D3986EC9914ABB118081B,8D3986EC9914ABB118081B761F19
2098,17483295347,8D3986ECF8230002004AB8,8D3986ECF8230002004AB8C7484B
2099,17483515793,8D3986EC58970564D1EB3D,8D3986EC58970564D1EB3D379B9E
2100,17484535540,8D3986EC9914ABB118081B,8D3986EC9914ABB118081B761F19
2101,17487286286,8D3986EC589701E40DEAAA,8D3986EC589701E40DEAAA08AB5E
2102,17490170482,8D3986ECEA38C860015F88,8D3986ECEA38C860015F887D4BE0
2103,17491191019,8D3986EC5897056435EB1B,8D3986EC5897056435EB1B379B9E
2104,17499846420,8D3986EC9914AAB0F0081B,8D3986EC9914AAB0F0081B87E690
2105,17500820970,8D3986EC230464B9D33CA0,8D3986EC230464B9D33CA0BD31F7
2106,17502481469,8D3986ECF8230002004AB8,8D3986ECF8230002004AB8C7484B
2107,17502731887,8D3986EC589701E2CDEA66,8D3986EC589701E2CDEA66088F73
2108,17507291196,8D3986EC9914AAB0F0081B,8D3986EC9914AAB0F0081B87E690
2109,17510302848,8D3986EC589701E231EA45,8D3986EC589701E231EA45088F73
2110,17511442813,8D3986EC9914AAB0F0081B,8D3986EC9914AAB0F0081B87E690
2111,17512997655,8D342107990CC7AD380815,8D342107990CC7AD38081544229C
2112,17514305536,8D3986EC589705625FEAB8,8D3986EC589705625FEAB837BFB3
2113,17515773552,8D3986EC9914AAB0F0041B,8D3986EC9914AAB0F0041B87E690
2114,17516916385,8D342107990CC7AD380815,8D342107990CC7AD38081544229C
2115,17518354766,8D3986EC5897056209EAA6,8D3986EC5897056209EAA637BFB3
2116,17542382531,8D3986EC9914AAB0F0081B,8D3986EC9914AAB0F0081B87E690
2117,17545208534,8D3986EC589701DF5FE9AB,8D3986EC589701DF5FE9ABF61248
2118,17546638380,8D3986EC9914AAB0D0081B,8D3986EC9914AAB0D0081B87E690
2119,17547373453,8D3986ECEA38C860015F88,8D3986ECEA38C860015F887D4BE0
2120,17548611735,8D342107EA447860013C08,8D342107EA447860013C089A11AE
2121,17549649665,8D3986EC5897055F97EA21,8D3986EC5897055F97EA21C92288
2122,17549969984,8D3986EC9914AAB0D0041B,8D3986EC9914AAB0D0041B87E690
2123,17549969985,8D3986EC9914AAB0D0041B,8D3986EC9914AAB0D0041B87E690
2124,17553363157,8D3986EC589701DEBDE988,8D3986EC589701DEBDE98809E641
2125,17555607772,8D342107F82300020049B8,8D342107F82300020049B84CAD4F
2126,17561219602,8D342107990CC7AD380816,8D342107990CC7AD38081644229C
2127,17567777632,8D342107EA447860013C08,8D342107EA447860013C089A11AE
2128,17569506377,8D342107990CC6AD380816,8D342107990CC6AD3808164A2F1C
2129,17570266082,8D34210758B511D44FF357,8D34210758B511D44FF3573C6399
2130,17573194224,8D342107990CC6AD380416,8D342107990CC6AD3804164A2F1C
2131,17574595297,8D34210758B511D3FFF341,8D34210758B511D3FFF341C3B3BD
2132,17578751086,8D3986EC230464B9D33CA0,8D3986EC230464B9D33CA0BD31F7
2133,17578843946,8D3986ECF8230002004AB8,8D3986ECF8230002004AB8C7484B
2134,17579711644,8D3986EC589701DCA5E916,8D3986EC589701DCA5E91609FA5A
2135,17585121027,8D342107990CC6AD380416,8D342107990CC6AD3804164A2F1C
2136,17586800044,8D342107EA447860013C08,8D342107EA447860013C089A11AE
2137,17596536585,8D342107EA447860013C08,8D342107EA447860013C089A11AE
2138,17613714928,8D342107F82300020049B8,8D342107F82300020049B84CAD4F
2139,17623143686,8D342107990CC6AD100415,8D342107990CC6AD1004154A2F1C
2140,17648804941,8D3986EC58970557C7E879,8D3986EC58970557C7E879C952E4
2141,17672392819,8D3C64669904D5AC000712,8D3C64669904D5AC00071203EB75
2142,17680622722,8D342107990CC6AD180416,8D342107990CC6AD1804164A2F1C
2143,17683223299,8D342107EA447860013C08,8D342107EA447860013C089A11AE
2144,17684601829,8D342107990CC6AD180416,8D342107990CC6AD1804164A2F1C
2145,17696052478,8D342107990CC6AD180416,8D342107990CC6AD1804164A2F1C
2146,17699518533,8D34210758B5154BA3F120,8D34210758B5154BA3F120FC13C9
2147,17700501617,8D3986ECEA38C860015F88,8D3986ECEA38C860015F887D4BE0
2148,17701891920,8D3986EC589701D2DDE6FE,8D3986EC589701D2DDE6FE09AE1B
2149,17703351907,8D3986EC9914ACB090041B,8D3986EC9914ACB090041BA3CB90
2150,17705574699,8D3986EC5897055353E786,8D3986EC5897055353E786C96AD2
2151,17709377585,8D3986EC589701D243E6DD,8D3986EC589701D243E6DD09AE1B
2152,17710357245,8D3986ECEA38C860015F88,8D3986ECEA38C860015F887D4BE0
2153,17713225699,8D3986EC58970552B9E765,8D3986EC58970552B9E765369EDB
2154,17714805698,8D3986EC9914ADB090041B,8D3986EC9914ADB090041BADC610
2155,17718827162,8D3986EC9914ADB090041B,8D3986EC9914ADB090041BADC610
2156,17719896968,8D3986ECEA38C860015F88,8D3986ECEA38C860015F887D4BE0
2157,17720935785,8D3986EC589705521FE744,8D3986EC589705521FE744369EDB
2158,17723065270,8D3986EC9914ADB090041B,8D3986EC9914ADB090041BADC610
2159,17723065271,8D3986EC9914ADB090041B,8D3986EC9914ADB090041BADC610
2160,17724847632,8D3986EC589701D107E698,8D3986EC589701D107E698F64609
2161,17727477732,8D3986EC9914ADB090041B,8D3986EC9914ADB090041BADC610
2162,17728473489,8D3986EC5897055185E723,8D3986EC5897055185E723C976C9
2163,17729264642,8D3986ECEA38C860015F88,8D3986ECEA38C860015F887D4BE0
2164,17730072414,8D3986EC230464B9D33CA0,8D3986EC230464B9D33CA0BD31F7
2165,17731172499,8D3986EC9914ADB090041B,8D3986EC9914ADB090041BADC610
2166,17734976000,8D3986EC9914ADB090081B,8D3986EC9914ADB090081BADC610
