Timestamp,Trame Hexa
Timestamp,Trame Hexa
1712491606.385002,8F39847758074562F9D6BD15E017
1712491608.3363798,8F39847758078562DFD6E838EAB6
1712491608.7557492,8F398477224D65F2C446201FB239
1712491609.163598,8F39847799109C85F08807E34115
1712491609.9757903,8F39847799109E861094071451AA
1712491610.527461,8F398477EA0DC85D275C00D45970
1712491611.0664124,8F3984779910A08610B008AE1E1F
1712491611.3855085,8F3984775807E562BDD71E44A16A
1712491611.687442,8F3984779910A08610B80721D257
1712491611.7848153,8F398477EA0DC85D275C00D45970
1712491612.1309588,8F3984779910A08610C0060C5E45
1712491612.6029675,8F3984779910A08610D00713724C
1712491614.913519,8F3984779910A08630F007684A6C
1712491617.410159,8F398477F8030002004ABCF6C326
1712491617.819977,8F3984775809C1E213D6655E6ACA
1712491618.5650926,8F3984775809F1E209D675A731A8
1712491619.3681908,8F398477580B31E1FFD685A73771
1712491619.5440464,8F398477EA0DC85D275C00D45970
1712491619.608566,8F398477224D65F2C446201FB239
1712491620.0217197,8F3984779910A08691480862A6CC
1712491621.145922,8D398477EA0DC85D275C0864CBEC
1712491622.1782699,8D3984779910A487112C08656CE1
1712491622.642166,8D398477580D01E1CFD6CC1CD7EA
1712491623.687652,8F3984779910A687511408F793D6
1712491624.1521611,8F398477580D61E1B9D6EBCFF723
1712491624.6004422,8F3984779910A487511008C9B04A
1712491625.5414994,8F398477EA0DC85E6B5C087B25B7
1712491626.3738437,8F398477580DE5621DD80F0DD926
1712491628.5060263,8F398477224D65F2C446201FB239
1712491628.804657,8F398477580F21E189D72E7580A8
1712491629.912102,8F39847799109D8771240820CFF4
1712491630.4637208,8F39847799109C8771280A6B8321
1712491631.0315557,8F39847799109C87713008FB2B3A
1712491631.3831117,8F398477F8230002004ABC52B5FF
1712491631.4847453,8F39847799109A8771340AC93F85
1712491631.6030242,8F398477580FA1E16FD74FFBDC28
1712491632.1234834,8F398477580FD1E163D75ECE7D55
1712491632.3850253,8F398477EA0DC85E6B5C087B25B7
1712491632.6102982,8F398477580FF1E15DD766741626
1712491633.137647,8F398477581111E157D76FE2082B
1712491633.7685196,8F39847758114561CFD8731EBFA3
1712491634.7698877,8F3984779910938751380920AD00
1712491635.297115,8F3984779910928751380923A7CE
1712491636.2232563,8F3984779910908771340928947B
1712491637.3793912,8F398477581315619DD8AE4ED505
1712491638.1939476,8F398477581341E10DD7C521B2A9
1712491638.9593163,8F39847799108788F12C09185074
1712491639.347619,8F398477F8230002004ABC52B5FF
1712491639.8504045,8F39847799108489D120093B945C
1712491640.7231302,8D3984779910808AB11009EA4213
1712491642.4408157,8D3984775813F5614FD8ED7D35A3
1712491643.1097398,8D39847799107C8B91000999B388
1712491643.9571989,8D3984779910768C90F40AC50CB1
1712491644.3000362,8D398477581511E0B9D8036DFA80
1712491644.772046,8D398477EA0DC85E6B5C08CBC747
1712491645.04091,8D3984779910718D90DC09560593
1712491645.4178524,8D39847799106C8E90D00ABA6B12
1712491646.2648888,8D3984779910668F90C80A1F61AD
1712491646.8471959,8D3984779910668F90C409A8D3BF
1712491647.2468634,8D39847758159560E5D91D1A3181
1712491647.4981976,8D398477F8230002004ABCE2570F
